Player_Name,Batting_Hand,Bowling_Skill,Country
A Flintoff,Right_Hand,Right-arm fast-medium,England
A Nel,Right_Hand,Right-arm fast-medium,South Africa
A Symonds,Right_Hand,Right-arm offbreak,Australia
A Zampa,Right_Hand,Legbreak googly,Australia
AA Noffke,Right_Hand,Right-arm fast-medium,Australia
AB de Villiers,Right_Hand,Right-arm medium,South Africa
AB McDonald,Right_Hand,Right-arm fast-medium,Australia
Abdur Razzak,Left_Hand,Slow left-arm orthodox,Bangladesh
AC Blizzard,Left_Hand,Left-arm medium,Australia
AC Gilchrist,Left_Hand,Right-arm offbreak,Australia
AC Thomas,Right_Hand,Right-arm fast-medium,England
AC Voges,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,Right_Hand,Right-arm fast-medium,England
AD Mathews,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Russell,Right_Hand,Right-arm fast,West Indies
AF Milne,Right_Hand,Right-arm fast,New Zealand
AJ Finch,Right_Hand,Slow left-arm orthodox,Australia
Azhar Mahmood,Right_Hand,Right-arm fast-medium,Pakistan
B Geeves,Right_Hand,Right-arm fast-medium,Australia
B Laughlin,Right_Hand,Right-arm fast-medium,Australia
B Lee,Right_Hand,Right-arm fast,Australia
BAW Mendis,Right_Hand,Right-arm offbreak,Sri Lanka
BB McCullum,Right_Hand,Right-arm medium,New Zealand
BCJ Cutting,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,Left_Hand,Left-arm fast-medium,South Africa
BJ Haddin,Right_Hand,Not a Bowler,Australia
BJ Hodge,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,Left_Hand,Right-arm offbreak,Sri Lanka
BR Dunk,Left_Hand,Right-arm fast,Australia
BW Hilfenhaus,Right_Hand,Right-arm fast,Australia
C Munro,Left_Hand,Right-arm medium-fast,New Zealand
CA Ingram,Left_Hand,Legbreak,South Africa
CA Lynn,Right_Hand,Slow left-arm orthodox,Australia
CH Gayle,Left_Hand,Right-arm offbreak,West Indies
CH Morris,Right_Hand,Right-arm fast-medium,South Africa
CJ Anderson,Left_Hand,Left-arm medium-fast,New Zealand
CJ Ferguson,Right_Hand,Right-arm medium,Australia
CJ Jordan,Right_Hand,Right-arm fast-medium,England
CJ McKay,Right_Hand,Right-arm fast-medium,Australia
CK Kapugedera,Right_Hand,Right-arm medium,Sri Lanka
CK Langeveldt,Right_Hand,Right-arm fast-medium,England
CL White,Right_Hand,Legbreak googly,Australia
CR Brathwaite,Right_Hand,Right-arm fast-medium,West Indies
CRD Fernando,Right_Hand,Right-arm fast-medium,Sri Lanka
D du Preez,Right_Hand,Right-arm fast-medium,South Africa
D Wiese,Right_Hand,Right-arm medium-fast,South Africa
DA Miller,Left_Hand,Right-arm offbreak,South Africa
DA Warner,Left_Hand,Legbreak,Australia
DAJ Bracewell,Right_Hand,Right-arm fast-medium,New Zealand
DE Bollinger,Left_Hand,Left-arm fast-medium,Australia
DJ Bravo,Right_Hand,Right-arm medium-fast,West Indies
DJ Harris,Right_Hand,Right-arm medium,Australia
DJ Hussey,Right_Hand,Right-arm offbreak,Australia
DJ Jacobs,Right_Hand,Right-arm medium,South Africa
DJ Thornely,Right_Hand,Right-arm medium,Australia
DJG Sammy,Right_Hand,Right-arm medium-fast,West Indies
DL Vettori,Left_Hand,Slow left-arm orthodox,New Zealand
DNT Zoysa,Left_Hand,Left-arm fast-medium,Sri Lanka
DP Nannes,Right_Hand,Left-arm fast,Australia
DPMD Jayawardene,Right_Hand,Right-arm medium,Sri Lanka
DR Martyn,Right_Hand,Right-arm medium,Australia
DR Smith,Right_Hand,Right-arm medium,West Indies
DS Lehmann,Left_Hand,Slow left-arm orthodox,Australia
DT Christian,Right_Hand,Right-arm fast-medium,Australia
DW Steyn,Right_Hand,Right-arm fast,South Africa
EJG Morgan,Left_Hand,Right-arm medium,England
F Behardien,Right_Hand,Right-arm fast-medium,South Africa
F du Plessis,Right_Hand,Legbreak,South Africa
FH Edwards,Right_Hand,Right-arm fast,West Indies
GB Hogg,Left_Hand,Slow left-arm chinaman,Australia
GC Smith,Left_Hand,Right-arm offbreak,South Africa
GD McGrath,Right_Hand,Right-arm fast-medium,Australia
GJ Bailey,Right_Hand,Right-arm medium,Australia
GJ Maxwell,Right_Hand,Right-arm offbreak,Australia
GR Napier,Right_Hand,Right-arm medium,England
GS Sandhu,Left_Hand,Right-arm fast-medium,Australia
HH Gibbs,Right_Hand,Right-arm bowler,South Africa
HM Amla,Right_Hand,Right-arm offbreak,South Africa
J Botha,Right_Hand,Right-arm offbreak,South Africa
J Theron,Right_Hand,Right-arm medium-fast,South Africa
JA Morkel,Left_Hand,Right-arm medium-fast,South Africa
JC Buttler,Right_Hand,Not a Bowler,England
JD Ryder,Left_Hand,Right-arm medium,New Zealand
JDP Oram,Left_Hand,Right-arm fast-medium,New Zealand
JDS Neesham,Left_Hand,Right-arm medium,New Zealand
JE Taylor,Right_Hand,Right-arm fast,New Zealand
JEC Franklin,Left_Hand,Left-arm medium,New Zealand
JH Kallis,Right_Hand,Right-arm fast-medium,South Africa
JJ van der Wath,Right_Hand,Right-arm medium-fast,South Africa
JM Kemp,Right_Hand,Right-arm fast-medium,South Africa
JO Holder,Right_Hand,Right-arm medium-fast,West Indies
JP Duminy,Left_Hand,Right-arm offbreak,South Africa
JP Faulkner,Right_Hand,Left-arm fast-medium,Australia
JR Hopes,Right_Hand,Right-arm medium,Australia
JW Hastings,Right_Hand,Right-arm fast-medium,Australia
K Santokie,Left_Hand,Left-arm medium,West Indies
KA Pollard,Right_Hand,Right-arm medium-fast,West Indies
KAJ Roach,Right_Hand,Right-arm fast,West Indies
Kamran Akmal,Right_Hand,Not a Bowler,Pakistan
KC Sangakkara,Left_Hand,Right-arm offbreak,Sri Lanka
KJ Abbott,Right_Hand,Right-arm fast-medium,South Africa
KK Cooper,Right_Hand,Right-arm medium,West Indies
KMDN Kulasekara,Right_Hand,Right-arm fast-medium,Sri Lanka
KP Pietersen,Right_Hand,Right-arm offbreak,South Africa
KS Williamson,Right_Hand,Right-arm offbreak,New Zealand
KW Richardson,Right_Hand,Right-arm fast-medium,Australia
L Ronchi,Right_Hand,Right-arm fast,Australia
LA Carseldine,Left_Hand,Legbreak,Australia
LA Pomersbach,Left_Hand,Right-arm medium,Australia
LJ Wright,Right_Hand,Right-arm medium-fast,England
LMP Simmons,Right_Hand,Right-arm medium-fast,West Indies
LPC Silva,Right_Hand,Legbreak,Sri Lanka
LRPL Taylor,Right_Hand,Right-arm offbreak,New Zealand
M de Lange,Right_Hand,Right-arm fast,South Africa
M Klinger,Right_Hand,Not a Bowler,Australia
M Morkel,Left_Hand,Right-arm fast,South Africa
M Muralitharan,Right_Hand,Right-arm offbreak,Sri Lanka
M Ntini,Right_Hand,Right-arm fast,South Africa
MA Starc,Left_Hand,Left-arm fast,Australia
Mashrafe Mortaza,Right_Hand,Right-arm fast-medium,Bangladesh
MC Henriques,Right_Hand,Right-arm fast-medium,Australia
MDKJ Perera,Left_Hand,Not a Bowler,Sri Lanka
MEK Hussey,Left_Hand,Right-arm medium,Australia
MG Johnson,Left_Hand,Left-arm fast,Australia
MG Neser,Right_Hand,Right-arm medium,Australia
Misbah-ul-Haq,Right_Hand,Legbreak,Pakistan
MJ Clarke,Right_Hand,Slow left-arm orthodox,Australia
MJ Guptill,Right_Hand,Right-arm offbreak,New Zealand
MJ Lumb,Left_Hand,Right-arm medium,England
MJ McClenaghan,Left_Hand,Left-arm fast-medium,New Zealand
ML Hayden,Left_Hand,Right-arm medium,Australia
MN Samuels,Right_Hand,Right-arm offbreak,West Indies
MN van Wyk,Right_Hand,Slow left-arm orthodox,South Africa
Mohammad Ashraful,Right_Hand,Right-arm offbreak,Bangladesh
Mohammad Asif,Left_Hand,Right-arm fast-medium,Pakistan
Mohammad Hafeez,Right_Hand,Right-arm offbreak,Pakistan
MP Stoinis,Right_Hand,Right-arm medium,Australia
MR Marsh,Right_Hand,Right-arm medium,Australia
MS Wade,Left_Hand,Right-arm medium,Australia
Mustafizur Rahman,Left_Hand,Left-arm fast-medium,Bangladesh
MV Boucher,Right_Hand,Right-arm medium,South Africa
NJ Maddinson,Left_Hand,Slow left-arm orthodox,Australia
NJ Rimmington,Right_Hand,Right-arm fast-medium,Australia
NL McCullum,Right_Hand,Right-arm offbreak,New Zealand
NLTC Perera,Left_Hand,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,Right_Hand,Right-arm fast,Australia
OA Shah,Right_Hand,Right-arm offbreak,England
PD Collingwood,Right_Hand,Right-arm medium,England
PJ Cummins,Right_Hand,Right-arm fast,Australia
PSP Handscomb,Right_Hand,Not a Bowler,Australia
Q de Kock,Left_Hand,Not a Bowler,South Africa
R McLaren,Left_Hand,Right-arm medium-fast,South Africa
R Rampaul,Left_Hand,Right-arm fast-medium,West Indies
RE Levi,Right_Hand,Right-arm medium,South Africa
RE van der Merwe,Right_Hand,Slow left-arm orthodox,South Africa
RJ Harris,Right_Hand,Right-arm fast,Australia
RJ Peterson,Left_Hand,Slow left-arm orthodox,South Africa
RJ Quiney,Left_Hand,Right-arm medium,Australia
RN ten Doeschate,Right_Hand,Right-arm medium-fast,Netherlands
RR Rossouw,Left_Hand,Right-arm offbreak,South Africa
RR Sarwan,Right_Hand,Legbreak,West Indies
RS Bopara,Right_Hand,Right-arm medium,England
RT Ponting,Right_Hand,Right-arm medium,Australia
RW Price,Right_Hand,Slow left-arm orthodox,Zimbabwea
S Badree,Right_Hand,Legbreak,West Indies
S Chanderpaul,Left_Hand,Legbreak,West Indies
S Randiv,Right_Hand,Right-arm offbreak,Sri Lanka
SA Abbott,Right_Hand,Right-arm fast-medium,New Zealand
Salman Butt,Left_Hand,Right-arm offbreak,Pakistan
SB Styris,Right_Hand,Right-arm medium,New Zealand
SE Bond,Right_Hand,Right-arm fast,New Zealand
SE Marsh,Left_Hand,Slow left-arm orthodox,Australia
Shahid Afridi,Right_Hand,Legbreak googly,Pakistan
Shakib Al Hasan,Left_Hand,Slow left-arm orthodox,Bangladesh
Shoaib Ahmed,Right_Hand,Right-arm fast-medium,Pakistan
Shoaib Akhtar,Right_Hand,Right-arm fast,Pakistan
Shoaib Malik,Right_Hand,Right-arm offbreak,Pakistan
SK Warne,Right_Hand,Legbreak googly,Australia
SL Malinga,Right_Hand,Right-arm fast,Sri Lanka
SM Boland,Right_Hand,Right-arm fast-medium,Australia
SM Harwood,Right_Hand,Right-arm fast-medium,Australia
SM Katich,Left_Hand,Slow left-arm chinaman,Australia
SM Pollock,Right_Hand,Right-arm fast-medium,South Africa
SMSM Senanayake,Right_Hand,Right-arm offbreak,Sri Lanka
Sohail Tanvir,Left_Hand,Left-arm medium-fast,Pakistan
SP Fleming,Left_Hand,Not a Bowler,New Zealand
SP Narine,Left_Hand,Right-arm offbreak,West Indies
SR Watson,Right_Hand,Right-arm fast-medium,Australia
ST Jayasuriya,Left_Hand,Slow left-arm orthodox,Sri Lanka
SW Billings,Right_Hand,Not a Bowler,England
SW Tait,Right_Hand,Right-arm fast,Australia
T Henderson,Right_Hand,Right-arm fast-medium,South Africa
T Shamsi,Right_Hand,Slow left-arm chinaman,South Africa
T Taibu,Right_Hand,Right-arm medium,Zimbabwea
T Thushara,Left_Hand,Left-arm fast-medium,Sri Lanka
TA Boult,Right_Hand,Left-arm fast-medium,New Zealand
TD Paine,Right_Hand,Right-arm medium,Australia
TG Southee,Right_Hand,Right-arm medium-fast,New Zealand
TM Dilshan,Right_Hand,Right-arm offbreak,Sri Lanka
TM Head,Left_Hand,Right-arm offbreak,Australia
TR Birt,Left_Hand,Right-arm medium,Australia
Umar Gul,Right_Hand,Right-arm fast-medium,Pakistan
UT Khawaja,Left_Hand,Right-arm medium,Australia
WD Parnell,Left_Hand,Left-arm medium-fast,South Africa
WPUJC Vaas,Left_Hand,Left-arm fast-medium,Sri Lanka
Younis Khan,Right_Hand,Right-arm medium,Pakistan
