Player_Name,total_runs,strikerate
,,
A Ashish Reddy,280,146.5970001
A Chandila,4,57.14289856
A Chopra,53,74.64790344
A Kumble,35,76.08699799
A Mishra,366,95.06490326
A Mithun,34,136
A Mukund,19,86.36360168
A Nehra,41,69.49150085
A Singh,2,20
A Uniyal,4,57.14289856
AA Bilakhia,69,81.17649841
AA Chavan,12,109.0910034
AA Jhunjhunwala,217,103.3330002
AB Agarkar,179,117.7630005
AB Barath,42,100
AB Dinda,26,55.31909943
AD Nath,90,91.83670044
AG Murtaza,10,71.4285965
AG Paunikar,49,85.96489716
AL Menaria,401,112.6399994
AM Nayar,672,117.072998
AM Rahane,3834,122.375
AN Ahmed,36,138.4620056
AN Ghosh,7,87.5
Anirudh Singh,63,95.45449829
Ankit Sharma,160,148.147995
Anureet Singh,37,80.43479919
AP Dole,34,154.5449982
AP Majumdar,87,114.473999
AP Tare,339,124.1760025
AR Patel,800,127.3889999
AS Rajpoot,17,56.66669846
AS Raut,194,116.1679993
AT Rayudu,3313,126.6439972
AUK Pathan,39,169.5650024
B Akhil,76,138.1820068
B Chipli,280,112
B Kumar,184,97.35449982
B Sumanth,35,94.59459686
BA Bhatt,6,85.71430206
BB Samantray,125,110.6190033
BB Sran,11,78.5714035
Bipul Sharma,187,154.5449982
C Madan,15,78.94740295
C Nanda,,
CA Pujara,390,99.74420166
CM Gautam,169,114.189003
D Kalyankrishna,3,42.85710144
D Salunkhe,33,137.5
DB Das,304,116.9229965
DB Ravi Teja,375,118.2969971
DH Yagnik,170,125.9260025
DJ Hooda,526,127.3610001
DJ Muthuswami,1,33.33330154
DL Chahar,71,161.3639984
DP Vijaykumar,1,100
DS Kulkarni,101,95.28299713
DT Patil,13,100
ER Dwivedi,24,171.4290009
FY Fazal,183,106.3949966
G Gambhir,4219,124.0879974
GH Vihari,280,89.74359894
Gurkeerat Singh,443,129.5319977
H Das,2,40
Harbhajan Singh,831,139.1959991
Harmeet Singh,18,150
Harpreet Singh,20,76.92310333
HH Pandya,1082,157.0390015
HV Patel,107,157.3529968
I Malhotra,7,175
I Sharma,55,90.16390228
IC Pandey,,
IK Pathan,1150,121.3079987
Imran Tahir,20,74.07409668
Iqbal Abdulla,88,106.0240021
IR Jaggi,76,78.35050201
Ishan Kishan,701,132.0149994
J Arunkumar,23,100
J Suchith,54,117.3909988
J Syed Mohammad,29,111.538002
J Yadav,6,60
Jaskaran Singh,8,72.72730255
JD Unadkat,55,103.7740021
JJ Bumrah,37,97.36840057
Joginder Sharma,36,120
K Goel,218,94.7826004
K Upadhyay,12,133.3329926
Kamran Khan,3,60
Karanveer Singh,12,70.58820343
KB Arun Karthik,51,102
KC Cariappa,24,114.2860031
KD Karthik,3669,130.4299927
KH Pandya,897,147.2910004
KK Nair,1465,128.8480072
KL Rahul,1988,139.2160034
KM Jadhav,1087,127.7320023
KP Appanna,2,66.66670227
Kuldeep Yadav,45,83.33329773
KV Sharma,317,117.4069977
L Ablish,,
L Balaji,36,76.59570313
LR Shukla,405,117.052002
M Ashwin,4,50
M Kaif,259,104.0159988
M Kartik,113,104.6299973
M Manhas,514,109.5950012
M Rawat,55,79.71009827
M Vijay,2589,123.0510025
M Vohra,1013,132.072998
MA Agarwal,1269,128.4409943
MA Khote,24,120
Mandeep Singh,1535,125.1019974
MC Juneja,125,98.42520142
MD Mishra,237,113.9420013
MF Maharoof,177,145.0820007
MK Pandey,2855,121.3860016
MK Tiwary,1696,117.2890015
MM Patel,39,95.12190247
MM Sharma,123,105.1279984
Mohammed Shami,54,103.8460007
MS Bisla,798,114.4909973
MS Dhoni,4450,138.802002
MS Gony,99,141.4290009
N Rana,1093,135.2720032
N Saini,142,98.61109924
ND Doshi,,
NS Naik,23,74.19360352
NV Ojha,1555,118.8840027
P Awana,5,35.71429825
P Dogra,127,92.02899933
P Kumar,340,108.2799988
P Negi,365,126.7360001
P Parameswaran,1,50
P Sahu,19,146.154007
PA Patel,2864,121.7689972
PA Reddy,164,102.5
Pankaj Singh,7,58.33330154
Parvez Rasool,17,85
PC Valthaty,505,121.6869965
PJ Sangwan,24,61.53850174
PM Sarvesh Kumar,1,50
PP Chawla,584,112.5240021
PP Ojha,16,36.36360168
PR Shah,92,101.098999
PV Tambe,18,46.15380096
R Ashwin,376,111.9049988
R Bhatia,342,120.4229965
R Bishnoi,19,111.7649994
R Dhawan,153,113.3330002
R Dravid,2174,115.822998
R Ninan,3,50
R Sathish,270,116.8830032
R Sharma,66,88
R Shukla,19,82.60870361
R Tewatia,115,129.2129974
R Vinay Kumar,310,114.3909988
RA Jadeja,1931,123.2289963
RG More,2,100
RG Sharma,4902,130.9989929
RP Singh,52,72.22219849
RR Bhatkal,,
RR Pant,1767,164.9859924
RR Powar,67,106.348999
RR Raje,20,111.1110001
RS Gavaskar,2,25
RS Sodhi,4,200
RV Gomez,50,100
RV Uthappa,4420,130.7310028
S Anirudha,136,123.6360016
S Aravind,59,105.3570023
S Badrinath,1441,119.0910034
S Dhawan,4601,125.5390015
S Gopal,129,109.3219986
S Kaul,12,42.85710144
S Kaushik,,
S Ladda,,
S Nadeem,32,41.5583992
S Narwal,37,137.0370026
S Rana,91,112.3460007
S Sohal,368,126.8970032
S Sreesanth,34,65.38459778
S Sriram,31,86.11109924
S Tyagi,3,75
S Vidyut,145,134.2590027
SA Asnodkar,423,124.7789993
SA Yadav,608,130.753006
Sachin Baby,137,135.6439972
Sandeep Sharma,26,68.4210968
SB Bangar,49,84.48280334
SB Jakati,28,96.55169678
SB Joshi,6,42.85710144
SB Wagh,2,66.66670227
SC Ganguly,1349,106.9789963
SD Chitnis,99,111.2360001
Shivam Sharma,5,166.6670074
SJ Srivastava,5,100
SK Raina,5386,137.5379944
SK Trivedi,42,71.18640137
SN Khan,412,144.5610046
SN Thakur,36,171.4290009
SP Goswami,295,101.723999
SPD Smith,2038,129.8090057
SR Tendulkar,2334,120.1240005
SS Iyer,1695,128.3119965
SS Shaikh,6,85.71430206
SS Tiwary,1276,119.9250031
STR Binny,880,128.8430023
Sunny Gupta,,
Sunny Singh,43,138.7100067
SV Samson,2215,130.8329926
Swapnil Singh,12,60
T Kohli,11,57.8946991
TL Suman,676,117.9759979
TM Srivastava,8,72.72730255
U Kaul,0,0
UA Birla,7,50
UBT Chand,300,100
UT Yadav,122,98.38710022
V Kohli,5426,131.9869995
V Pratap Singh,0,0
V Sehwag,2728,156.2429962
V Shankar,563,135.3370056
VH Zol,29,111.538002
VR Aaron,49,79.03230286
VRV Singh,4,200
VS Malik,7,100
VS Yeligati,2,100
VVS Laxman,282,106.0149994
VY Mahesh,15,57.69229889
W Jaffer,130,107.4380035
WA Mota,56,76.71230316
WP Saha,1767,131.8659973
X Thalaivan Sargunam,10,58.82350159
Y Gnaneswara Rao,19,111.7649994
Y Nagar,285,110.8949966
Y Venugopal Rao,985,118.1060028
YA Abdulla,,
Yashpal Singh,47,71.21209717
YK Pathan,3222,143.8390045
YS Chahal,22,45.83330154
Yuvraj Singh,2755,129.8919983
YV Takawale,192,107.8649979
Z Khan,117,84.7826004
