Player_Name,Batting_Hand,Bowling_Skill,Country
A Ashish Reddy,Right_Hand,Right-arm medium,India
A Chandila,Right_Hand,Right-arm offbreak,India
A Chopra,Right_Hand,Right-arm offbreak,India
A Kumble,Right_Hand,Legbreak googly,India
A Mishra,Right_Hand,Legbreak,India
A Mithun,Right_Hand,Right-arm medium,India
A Mukund,Right_Hand,Legbreak googly,India
A Nehra,Right_Hand,Left-arm medium-fast,India
A Singh,Right_Hand,Right-arm medium-fast,India
A Uniyal,Right_Hand,Left-arm medium,India
AA Bilakhia,Right_Hand,Right-arm medium,India
AA Chavan,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,Right_Hand,Right-arm offbreak,India
AA Kazi,Right_Hand,Slow left-arm orthodox,India
AB Agarkar,Right_Hand,Right-arm fast,India
AB Barath,Left_Hand,Right-arm offbreak,India
AB Dinda,Right_Hand,Right-arm medium-fast,India
AD Nath,Right_Hand,Right-arm medium-fast,India
AG Murtaza,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,Right_Hand,Not a Bowler,India
AL Menaria,Left_Hand,Slow left-arm orthodox,India
AM Nayar,Left_Hand,Right-arm medium,India
AM Rahane,Right_Hand,Right-arm medium,India
AM Salvi,Right_Hand,Right-arm medium,India
AN Ahmed,Right_Hand,Right-arm medium-fast,India
AN Ghosh,Right_Hand,Right-arm medium,India
Anand Rajan,Right_Hand,Right-arm medium,India
Anirudh Singh,Left_Hand,Right-arm medium,India
Ankit Sharma,Left_Hand,Slow left-arm orthodox,India
Anureet Singh,Right_Hand,Right-arm medium,India
AP Dole,Right_Hand,Right-arm medium-fast,India
AP Majumdar,Right_Hand,Legbreak googly,India
AP Tare,Right_Hand,Not a Bowler,India
AR Patel,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,Right_Hand,Right-arm medium,India
AS Raut,Right_Hand,Legbreak googly,India
AT Rayudu,Right_Hand,Right-arm offbreak,India
AUK Pathan,Right_Hand,Right-arm medium,India
AV Wankhade,Right_Hand,Not a Bowler,India
B Akhil,Right_Hand,Right-arm medium-fast,India
B Aparajith,Right_Hand,Right-arm offbreak,India
B Chipli,Right_Hand,Right-arm medium,India
B Kumar,Right_Hand,Right-arm medium,India
B Sumanth,Right_Hand,Right-arm medium-fast,India
BA Bhatt,Left_Hand,Slow left-arm orthodox,India
BB Samantray,Right_Hand,Not a Bowler,India
BB Sran,Left_Hand,Left-arm medium,India
Bipul Sharma,Left_Hand,Slow left-arm orthodox,India
C Ganapathy,Right_Hand,Right-arm medium,India
C Madan,Right_Hand,Not a Bowler,India
C Nanda,Right_Hand,Legbreak,India
CA Pujara,Right_Hand,Legbreak,India
