id,Season,city,Date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,Team_win_id,venue,umpire1,umpire2,umpire3
60,IPL-2008,Bangalore,2008-04-18 00:00:00,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,BB McCullum,8,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,""
70,IPL-2008,Bangalore,2008-04-26 00:00:00,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,SR Watson,11,M Chinnaswamy Stadium,MR Benson,IL Howell,""
74,IPL-2008,Bangalore,2008-04-28 00:00:00,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13,0,MS Dhoni,1,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,""
111,IPL-2008,Bangalore,2008-05-03 00:00:00,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3,0,P Kumar,13,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,""
84,IPL-2008,Bangalore,2008-05-05 00:00:00,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,S Sreesanth,6,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,""
104,IPL-2008,Bangalore,2008-05-19 00:00:00,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,SP Goswami,4,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,""
90,IPL-2008,Bangalore,2008-05-28 00:00:00,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,CRD Fernando,9,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,""
61,IPL-2008,Chandigarh,2008-04-19 00:00:00,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,MEK Hussey,1,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,""
69,IPL-2008,Chandigarh,2008-04-25 00:00:00,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,66,0,KC Sangakkara,6,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,""
73,IPL-2008,Chandigarh,2008-04-27 00:00:00,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,4,SM Katich,6,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,""
81,IPL-2008,Chandigarh,2008-05-03 00:00:00,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,9,0,IK Pathan,6,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,""
